Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-18;Hombre;Otro Municipio;Entre 36 y 45 años;Española;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-18;Mujer;Usera;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-18;Mujer;Tetuán;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Carabanchel;Entre 36 y 45 años;Española;2251;Maestros de educación infantil;2311;Profesores de educación especial;2311;Profesores de educación especial
ene-18;Mujer;Ciudad Lineal;Entre 26 y 35 años;Española;4412;Recepcionistas (excepto de hoteles);2484;Diseñadores gráficos y multimedia;3811;Técnicos en operaciones de sistemas informáticos
ene-18;Hombre;Arganzuela;Entre 36 y 45 años;Española;3510;Agentes y representantes comerciales;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Española;7831;Sastres, modistos, peleteros y sombrereros;;;;
ene-18;Mujer;Arganzuela;Entre 46 y 55 años;Española;2484;Diseñadores gráficos y multimedia;4424;Teleoperadores;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Usera;Entre 56 y 65 años;Española;5833;Conserjes de edificios;5120;Camareros asalariados;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Hombre;Ciudad Lineal;Menor de 25 años;Española;5500;Cajeros y taquilleros (excepto bancos);5120;Camareros asalariados;4412;Recepcionistas (excepto de hoteles)
ene-18;Hombre;Carabanchel;Menor de 25 años;Extracomunitaria;7703;Panaderos, pasteleros y confiteros;;;;
ene-18;Mujer;Tetuán;Entre 36 y 45 años;Española;4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
ene-18;Hombre;Latina;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-18;Hombre;Retiro;Entre 56 y 65 años;Española;4424;Teleoperadores;2711;Analistas de sistemas;2322;Profesores de enseñanza no reglada de idiomas
ene-18;Mujer;Vicálvaro;Entre 46 y 55 años;Española;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-18;Hombre;Carabanchel;Entre 36 y 45 años;Española;7231;Pintores y empapeladores;;;;
ene-18;Hombre;Villaverde;Entre 36 y 45 años;Extracomunitaria;7111;Encofradores y operarios de puesta en obra de hormigón;9602;Peones de la construcción de edificios;;
ene-18;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;9100;Empleados domésticos;;;;
ene-18;Mujer;Villaverde;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
ene-18;Mujer;Villaverde;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;;;;
ene-18;Mujer;Arganzuela;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5500;Cajeros y taquilleros (excepto bancos);4411;Empleados de información al usuario
ene-18;Mujer;Arganzuela;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;;;;
